timestamp,blocknum,from,to,value,asset,category,contract_address,hash
2022-08-22 16:43:13,15391410,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x9ede3c9dd3edfb3ed8d844054f6e3eae31232d23,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x72f29ca862f1f8063bd22900ebbdd7887476fe6b5d70d1a650e0250962a0edc4
2022-08-22 16:43:39,15391411,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xc1129c95d9f16a17f80efcbde4f1b536c484c1d6,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xaabad218dcab9a3ed5d9ac1003ad543488d6125dc8856b9ca02109527aba050c
2022-08-22 16:44:02,15391412,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xca0f403d2a602e4d8c0a6a984b973d7958fbf463,6837.32,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x57a44f0a7ba7974e789be6ec745201d9a2b3aa08a3ac6638519204d793b0be58
2022-08-22 16:44:59,15391417,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x75a6085bbc25665b6891ea94475e6120897ba90b,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xf1b47053c36c7fd5471b49989bf66bf4614c6d808c171c429c4f9adeea12c9d5
2022-08-22 16:45:32,15391419,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xd3122b4302b7bd2554774c71b6be1553b3a51239,1543.8200000000002,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x7080ff84dad92b9525c72e0a1166e13f0db995ae8f71df1163ce9382dd7c1eae
2022-08-22 16:45:32,15391419,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xdfebf820bbbf2e90a15c92d815b5d8e10823976f,821.41,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x9a834583050c732f752c03a3932d5c26f507e4fe219b941a3ce4cc63bf7c01c8
2022-08-22 16:45:58,15391421,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xeb9e66719812d2b4182c45ceee19883d168a4705,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xc98df27bb14b46a037741d6e97a3daed6676eed8afc3a4c1303f795d4d0551d5
2022-08-22 16:45:58,15391421,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x19fcad9aeaaf2393973ebe45551c8bc4fc3962b8,817.2099999999999,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x6622e3c180f2a95eccc0c42b9ab2487ff1140a05c411cd9413d292bb354d04f7
2022-08-22 16:46:16,15391423,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0x505c2b951d87b8969b1aa797997b96e5471a4e46,7439.33,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0xf2de6a7c7e88cd9963dd77f5e3f3233916a126d9a6b820547d10e2a9347efe59
2022-08-22 16:46:27,15391425,0xbd82cd2f7c2b8710a879580399cfbff61c5020b9,0xcee92aacab8e91b4ee1a0f53208c134fa273d812,400.0,CODE,erc20,0xb24cd494fae4c180a89975f1328eab2a7d5d8f11,https://etherscan.io/tx/0x76632cff4a42689357864c8b15de739c0f672f8469333d457185d4d39c58f320
